641,Teknik Pemesinan Gerinda,2,54
642,Teknik Pemesinan NC/CNC dan CAM,2,54
643,Produk Kreatif dan Kewirausahaan,2,54
644,Gambar Teknik Manufaktur,2,32
645,Teknik Pemesinan Bubut,2,32
646,Teknik Pemesinan Frais,2,32
647,Teknik Pemesinan NC/CNC dan CAM,2,32
648,Produk Kreatif dan Kewirausahaan,2,32
649,Gambar Teknik Mesin,2,18
650,Pekerjaan Dasar Teknik Mesin,2,18
651,Dasar Perangcangan Teknik Mesin,2,18
652,Teknik Pemesinan Konvesional,2,58
653,Teknik Pemesinan Non Konvensional,2,58
654,Teknik Fabrikasi Logam,2,58
655,Perancanangan Teknik dan Gambar Manufaktur-Fabrikasi Logam,2,58
656,Penerapan Pengujian Mutu,2,58
657,Produk Kreatif dan Kewirausahaan,2,58
658,Teknik Pemesinan Konvesional,2,55
659,Teknik Pemesinan Non Konvensional,2,55
660,Teknik Fabrikasi Logam,2,55
661,Perancanangan Teknik dan Gambar Manufaktur-Fabrikasi Logam,2,55
662,Produk Kreatif dan Kewirausahaan,2,55
663,Teknik Pemesinan Konvesional,2,33
664,Teknik Fabrikasi Logam,2,33
665,Perancanangan Teknik dan Gambar Manufaktur-Fabrikasi Logam,2,33
666,Produk Kreatif dan Kewirausahaan,2,33
667,Teknik Pemesinan Konvesional,2,34
668,Teknik Fabrikasi Logam,2,34
669,Perancanangan Teknik dan Gambar Manufaktur-Fabrikasi Logam,2,34
670,Produk Kreatif dan Kewirausahaan,2,34
671,Pemeliharaan Mesin Kendaraan Ringan,2,26
672,Pemeliharaan Sasis dan Pemindah Tenaga Kendaraan Ringan,2,26
673,Pemeliharaan Kelistrikan Kendaraan Ringan,2,26
674,Produk Kreatif dan Kewirausahaan,2,26
675,Pemeliharaan Mesin Kendaraan Ringan,2,27
676,Pemeliharaan Sasis dan Pemindah Tenaga Kendaraan Ringan,2,27
677,Pemeliharaan Kelistrikan Kendaraan Ringan,2,27
678,Produk Kreatif dan Kewirausahaan,2,27
679,Pemeliharaan Mesin Kendaraan Ringan,2,28
680,Pemeliharaan Sasis dan Pemindah Tenaga Kendaraan Ringan,2,28
681,Pemeliharaan Kelistrikan Kendaraan Ringan,2,28
682,Produk Kreatif dan Kewirausahaan,2,28
683,Pemeliharaan Mesin Kendaraan Ringan,2,50
684,Pemeliharaan Sasis dan Pemindah Tenaga Kendaraan Ringan,2,50
685,Pemeliharaan Kelistrikan Kendaraan Ringan,2,50
686,Produk Kreatif dan Kewirausahaan,2,50
